"Player","EH_ID","API ID","Season","Team","Position","Shoots","Birthday","Age","Draft Yr","Draft Rd","Draft Ov","GP","TOI","G/60","A1/60","A2/60","Points/60","iSF/60","iFF/60","iCF/60","ixG/60","Sh%","FSh%","xFSh%","iBLK/60","GIVE/60","TAKE/60","iHF/60","iHA/60","iPENT2/60","iPEND2/60","iPENT5/60","iPEND5/60","iPEN±/60","FOW/60","FOL/60","FO±/60"
"Ben Maxwell","BEN.MAXWELL","8473493","10-11","ATL","C","L",1988-03-30,22,2006,2,49,12,130.88,0.46,0,0.46,0.92,5.04,7.33,7.79,0.45,9.09,6.25,6.12,0.92,1.38,2.29,0.46,2.29,0.92,1.38,0.46,0.46,0.46,7.33,8.71,-1.38
"Ben Maxwell","BEN.MAXWELL","8473493","11-12","ANA","C","L",1988-03-30,23,2006,2,49,6,45.4,0,1.32,0,1.32,7.93,9.25,10.57,0.59,0,0,6.43,1.32,1.32,0,10.57,6.61,1.32,2.64,0,0,1.32,21.15,21.15,0
"Ben Maxwell","BEN.MAXWELL","8473493","11-12","WPG","C","L",1988-03-30,23,2006,2,49,9,51.8,1.16,3.47,1.16,5.79,4.63,4.63,6.95,0.36,25,25,7.75,5.79,0,0,2.32,8.11,0,1.16,0,0,1.16,11.58,16.22,-4.63
"Ben McCartney","BEN.MCCARTNEY","8481827","21-22","ARI","L","L",2001-07-13,20,2020,7,204,2,27.33,0,0,0,0,4.39,6.59,8.78,0.4,0,0,6,0,0,0,15.37,6.59,4.39,0,0,0,-4.39,0,2.2,-2.2
"Ben Meyers","BEN.MEYERS","8483570","21-22","COL","C","L",1998-11-15,22,2017,NA,NA,5,48.65,1.23,0,0,1.23,9.87,13.57,14.8,1.13,12.5,9.09,8.36,1.23,0,1.23,1.23,7.4,0,0,0,0,0,13.57,16.03,-2.47
"Ben Meyers","BEN.MEYERS","8483570","22-23","COL","C","L",1998-11-15,23,2017,NA,NA,39,363.65,0.66,0,0,0.66,5.44,7.59,9.57,1,12.12,8.7,13.13,2.14,0.49,1.81,4.12,5.11,0.49,0.49,0,0,0,15.84,14.85,0.99
"Ben Meyers","BEN.MEYERS","8483570","23-24","ANA","C","L",1998-11-15,24,2017,NA,NA,14,135.02,0,0.44,0.44,0.89,2.22,4.89,8,0.34,0,0,7,0.89,0.89,0.89,8.89,5.33,1.33,0.44,0,0,-0.89,12.44,16,-3.56
"Ben Meyers","BEN.MEYERS","8483570","23-24","COL","C","L",1998-11-15,24,2017,NA,NA,9,83.67,0.72,0,0,0.72,5.02,7.89,10.76,0.54,14.29,9.09,6.82,0,0.72,0.72,8.61,6.45,0,0,0,0,0,5.02,2.15,2.87
"Ben Meyers","BEN.MEYERS","8483570","24-25","SEA","C","L",1998-11-15,25,2017,NA,NA,8,66.62,0,0,0,0,3.6,4.5,9.01,0.41,0,0,9.2,0.9,0.9,0.9,8.11,6.3,0,0,0,0,0,21.62,22.52,-0.9
"Ben Sexton","BEN.SEXTON","8475328","17-18","OTT","C","R",1991-06-06,26,2009,7,205,2,20.55,0,0,0,0,2.92,2.92,2.92,0.15,0,0,5,0,2.92,0,17.52,14.6,0,0,0,0,0,8.76,5.84,2.92
"Ben Smith","BEN.SMITH","8474727","10-11","CHI","R","R",1988-07-11,22,2008,6,169,6,79.57,0.75,0,0,0.75,3.77,3.77,4.52,0.26,20,20,6.8,3.77,0,2.26,5.28,11.31,0,0,0,0,0,3.02,1.51,1.51
"Ben Smith","BEN.SMITH","8474727","11-12","CHI","R","R",1988-07-11,23,2008,6,169,13,121.93,0.98,0,0,0.98,8.86,9.35,11.32,0.7,11.11,10.53,7.47,1.97,0.49,1.48,2.95,8.37,0,0,0,0,0,3.44,2.95,0.49
"Ben Smith","BEN.SMITH","8474727","12-13","CHI","R","R",1988-07-11,24,2008,6,169,1,14.27,4.2,0,0,4.2,4.2,4.2,8.41,0.04,100,100,1,0,0,0,4.2,0,0,0,0,0,0,0,8.41,-8.41
"Ben Smith","BEN.SMITH","8474727","13-14","CHI","R","R",1988-07-11,25,2008,6,169,75,822.18,0.88,0.44,0.29,1.61,5.84,7.95,10.14,0.7,15,11.01,8.84,3.5,0.66,1.24,2.7,8.32,0.07,0.73,0,0,0.66,12.48,11.24,1.24
"Ben Smith","BEN.SMITH","8474727","14-15","CHI","R","R",1988-07-11,26,2008,6,169,61,663.03,0.36,0.27,0,0.63,6.33,8.96,11.13,0.72,5.71,4.04,8.06,3.17,0.72,1.27,4.43,6.97,0.09,0.36,0,0,0.27,16.29,14.39,1.9
"Ben Smith","BEN.SMITH","8474727","14-15","S.J","R","R",1988-07-11,26,2008,6,169,19,189.15,0.63,0,0.63,1.27,4.44,6.03,7.93,0.55,14.29,10.53,9.16,4.76,1.59,1.59,7.3,8.25,0,0.32,0,0,0.32,24.11,18.72,5.39
"Ben Smith","BEN.SMITH","8474727","15-16","S.J","R","R",1988-07-11,27,2008,6,169,6,35.73,0,0,0,0,1.68,3.36,5.04,0.13,0,0,4,1.68,3.36,1.68,8.4,13.43,0,0,0,0,0,8.4,20.15,-11.75
"Ben Smith","BEN.SMITH","8474727","15-16","TOR","R","R",1988-07-11,27,2008,6,169,16,188.7,0.64,0,0.64,1.27,5.09,7.63,9.86,0.65,12.5,8.33,8.54,2.86,0,1.91,3.82,9.22,0,0,0,0,0,19.71,15.26,4.45
"Ben Smith","BEN.SMITH","8474727","16-17","COL","R","R",1988-07-11,28,2008,6,169,4,34.7,0,0,0,0,1.73,3.46,3.46,0.17,0,0,5,0,1.73,0,1.73,13.83,0,0,0,0,0,27.67,15.56,12.1
"Ben Smith","BEN.SMITH","8474727","16-17","TOR","R","R",1988-07-11,28,2008,6,169,36,332.88,0.36,0.18,0.18,0.72,5.23,7.57,9.37,0.65,6.9,4.76,8.57,4.69,0.72,1.08,4.87,8.47,0.36,0.54,0,0,0.18,28.48,24.51,3.97
"Ben Street","BEN.STREET","8476043","12-13","CGY","C","L",1987-02-13,25,2005,NA,NA,6,71.15,0,0,0,0,10.96,14.34,18.55,0.67,0,0,4.71,0.84,0,1.69,6.75,5.9,0,0,0,0,0,20.24,21.08,-0.84
"Ben Street","BEN.STREET","8476043","13-14","CGY","C","L",1987-02-13,26,2005,NA,NA,13,114.18,0,0,0.53,0.53,8.93,12.09,14.19,0.49,0,0,4.04,2.1,1.05,1.58,6.83,6.83,1.05,1.05,0,0,0,28.9,28.38,0.53
"Ben Street","BEN.STREET","8476043","14-15","COL","C","L",1987-02-13,27,2005,NA,NA,3,34.73,0,0,0,0,6.91,8.64,12.09,0.19,0,0,2.2,0,3.46,1.73,5.18,8.64,0,0,0,0,0,29.37,24.19,5.18
"Ben Street","BEN.STREET","8476043","15-16","COL","C","L",1987-02-13,28,2005,NA,NA,7,50.82,0,0,0,0,9.45,10.63,11.81,0.4,0,0,3.78,4.72,2.36,0,7.08,9.45,2.36,1.18,0,0,-1.18,30.7,24.79,5.9
"Ben Street","BEN.STREET","8476043","16-17","DET","C","L",1987-02-13,29,2005,NA,NA,6,49.17,0,1.22,0,1.22,9.76,13.42,13.42,1.03,0,0,7.64,0,2.44,0,3.66,7.32,0,0,0,0,0,0,0,0
"Ben Street","BEN.STREET","8476043","18-19","ANA","C","L",1987-02-13,31,2005,NA,NA,21,208.65,0.86,0,0,0.86,4.89,7.48,12.08,0.35,17.65,11.54,4.69,1.73,1.15,0.58,5.46,6.04,0.29,0.29,0,0,0,2.59,6.04,-3.45
"Ben Street","BEN.STREET","8476043","19-20","N.J","C","L",1987-02-13,32,2005,NA,NA,3,24.12,0,0,2.49,2.49,9.95,9.95,14.93,0.7,0,0,7,0,0,0,7.46,4.98,0,0,0,0,0,12.44,14.93,-2.49
"Ben Thomas","BEN.THOMAS","8478049","20-21","T.B","D","R",1996-05-28,24,2014,4,119,5,68.3,0,0,0,0,2.64,3.51,6.15,0.21,0,0,6,2.64,0.88,0.88,2.64,16.69,0,0,0,0,0,0,0,0
"Ben Thomson","BEN.THOMSON","8476526","16-17","N.J","L","L",1993-01-16,23,2012,4,96,3,32.32,0,0,0,0,11.14,13,13,1.28,0,0,9.86,1.86,1.86,0,13,13,3.71,0,0,0,-3.71,0,1.86,-1.86
"Ben Walter","BEN.WALTER","8471372","08-09","NYI","C","L",1984-05-11,24,2004,5,160,4,38.2,0,0,0,0,3.14,4.71,9.42,0.13,0,0,2.67,4.71,1.57,1.57,3.14,6.28,0,0,0,0,0,26.7,39.27,-12.57
"Ben Walter","BEN.WALTER","8471372","09-10","N.J","C","L",1984-05-11,25,2004,5,160,2,9.98,0,0,0,0,0,0,6.01,0,0,0,0,0,6.01,0,0,0,0,0,0,0,0,12.02,24.05,-12.02
"Benjamin Ondrus","BENJAMIN.ONDRUS","8468868","08-09","TOR","R","R",1982-06-25,26,2000,NA,NA,11,77.52,0,0,0,0,1.55,3.87,5.42,0.19,0,0,5,0.77,0.77,3.87,11.61,4.64,0.77,0.77,3.1,3.1,0,9.29,9.29,0
"Benn Ferriero","BENN.FERRIERO","8473600","09-10","S.J","C/R","R",1987-04-29,22,2006,7,196,24,250.25,0.48,0.24,0.48,1.2,9.11,12.23,14.87,0.62,5.26,3.92,5.1,0.72,1.92,2.64,4.08,7.43,0.72,1.2,0,0,0.48,0.48,0.24,0.24
"Benn Ferriero","BENN.FERRIERO","8473600","10-11","S.J","R","R",1987-04-29,23,2006,7,196,33,396.93,0.6,0.45,0.15,1.21,7.26,10.88,15.42,0.65,8.33,5.56,5.96,1.21,1.36,1.66,6.95,6.8,0.3,0.6,0.15,0.15,0.3,0.3,1.06,-0.76
"Benn Ferriero","BENN.FERRIERO","8473600","11-12","S.J","R","R",1987-04-29,24,2006,7,196,35,407.17,1.03,0,0.15,1.18,9.87,12.08,15.47,0.88,10.45,8.54,7.27,1.77,0.44,1.18,6.19,4.72,0.44,0.44,0,0,0,0.29,1.03,-0.74
"Benn Ferriero","BENN.FERRIERO","8473600","12-13","NYR","R","R",1987-04-29,25,2006,7,196,4,35.93,0,1.67,0,1.67,6.68,13.36,15.03,0.72,0,0,5.38,3.34,1.67,3.34,6.68,8.35,0,0,0,0,0,3.34,11.69,-8.35
"Benn Ferriero","BENN.FERRIERO","8473600","13-14","VAN","R","R",1987-04-29,26,2006,7,196,2,8.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.88,6.88,0,0,0,0,0,0,0,0
"Benoit-Olivier Groulx","BENOIT-OLIVIER.GROULX","8480870","21-22","ANA","C","L",2000-02-06,21,2018,2,54,18,165.4,0,0.36,0.36,0.73,5.44,6.89,10.16,0.44,0,0,6.32,1.81,1.09,1.09,6.53,6.89,0,0,0,0,0,13.42,13.78,-0.36
"Benoit-Olivier Groulx","BENOIT-OLIVIER.GROULX","8480870","22-23","ANA","C","L",2000-02-06,22,2018,2,54,2,22.88,0,0,0,0,0,2.62,7.87,0.24,0,0,9,0,5.24,2.62,0,0,0,0,0,0,0,13.11,10.49,2.62
"Benoit-Olivier Groulx","BENOIT-OLIVIER.GROULX","8480870","23-24","ANA","C","L",2000-02-06,23,2018,2,54,45,473.72,0,0.13,0.13,0.25,3.42,6.21,9.63,0.49,0,0,7.88,3.17,1.14,0.89,11.91,6.59,1.27,0.38,0,0,-0.89,12.29,15.83,-3.55
"Benoit Pouliot","BENOIT.POULIOT","8471678","08-09","MIN","L","L",1986-09-29,21,2005,1,4,37,351.2,0.51,0.34,0.34,1.2,3.59,4.95,6.66,0.28,14.29,10.34,5.69,0.17,1.88,2.05,2.9,2.73,1.2,0.34,0,0,-0.85,14.01,19.13,-5.13
"Benoit Pouliot","BENOIT.POULIOT","8471678","09-10","MIN","L","L",1986-09-29,22,2005,1,4,14,146.37,0.82,0,0.82,1.64,6.97,10.66,12.71,0.62,11.76,7.69,5.81,0,1.64,0.82,6.15,2.05,2.05,0.41,0,0,-1.64,1.64,1.64,0
"Benoit Pouliot","BENOIT.POULIOT","8471678","09-10","MTL","L","L",1986-09-29,22,2005,1,4,39,545.15,1.21,0.55,0.11,1.87,8.36,10.9,12.99,0.79,14.47,11.11,7.23,1.98,1.54,1.87,5.06,3.63,0.99,0.88,0.11,0.11,-0.11,0.11,0.11,0
"Benoit Pouliot","BENOIT.POULIOT","8471678","10-11","MTL","L","L",1986-09-29,23,2005,1,4,79,840.48,0.86,0.86,0.36,2.07,8.14,11.14,13.99,0.68,10.53,7.69,6.11,1.43,0.86,1.86,7.85,4.5,1.71,0.86,0.21,0.21,-0.86,0.71,0.71,0
"Benoit Pouliot","BENOIT.POULIOT","8471678","11-12","BOS","L","L",1986-09-29,24,2005,1,4,74,818.1,1.1,0.66,0.44,2.2,7.41,10.05,11.73,0.74,14.85,10.95,7.32,1.03,0.51,2.71,7.04,4.47,0.88,0.88,0,0,0,0.37,0.51,-0.15
"Benoit Pouliot","BENOIT.POULIOT","8471678","12-13","T.B","L","L",1986-09-29,25,2005,1,4,34,384.28,1.25,0.62,0.78,2.65,8.12,10.77,13.27,0.86,15.38,11.59,8,0.94,1.72,2.81,5.31,5.31,0.47,1.41,0.16,0.16,0.94,1.25,1.72,-0.47
"Benoit Pouliot","BENOIT.POULIOT","8471678","13-14","NYR","L","L",1986-09-29,26,2005,1,4,80,911.88,0.53,0.46,0.86,1.84,7.96,10.53,12.5,0.81,6.61,5,7.69,1.18,2.37,1.97,8.88,5.07,0.79,0.92,0.13,0.07,0.07,0.92,0.92,0
"Benoit Pouliot","BENOIT.POULIOT","8471678","14-15","EDM","L","L",1986-09-29,27,2005,1,4,58,762.18,1.02,0.55,0.31,1.89,6.3,9.6,10.94,0.64,16.25,10.66,6.68,1.73,2.28,2.44,5.04,2.52,0.79,0.63,0,0,-0.16,0.87,1.26,-0.39
"Benoit Pouliot","BENOIT.POULIOT","8471678","15-16","EDM","L","L",1986-09-29,28,2005,1,4,55,716.52,0.59,0.92,0.5,2.01,6.03,8.46,10.13,0.58,9.72,6.93,6.87,2.01,2.01,2.18,2.93,2.85,1.26,1.09,0,0,-0.17,1.67,2.26,-0.59
"Benoit Pouliot","BENOIT.POULIOT","8471678","16-17","EDM","L","L",1986-09-29,29,2005,1,4,67,784.18,0.61,0.38,0.08,1.07,4.9,7.19,9.33,0.53,12.5,8.51,7.41,2.3,3.14,2.52,2.83,4.06,1.22,0.99,0,0,-0.23,0.54,1.53,-0.99
"Benoit Pouliot","BENOIT.POULIOT","8471678","17-18","BUF","L","L",1986-09-29,30,2005,1,4,74,830.18,0.72,0.43,0,1.16,5.2,7.3,8.82,0.48,13.89,9.9,6.58,2.02,2.1,1.95,4.55,3.4,0.65,0.65,0,0,0,0.65,1.08,-0.43
"Bill Arnold","BILL.ARNOLD","8475833","13-14","CGY","C","R",1992-05-13,21,2010,4,108,1,13.58,0,0,0,0,0,4.42,4.42,0.62,0,0,14,0,0,0,4.42,8.84,0,0,0,0,0,22.09,17.67,4.42
"Bill Guerin","BILL.GUERIN","8456464","08-09","NYI","R","R",1970-11-09,37,1989,1,5,61,774.63,0.62,0.39,0.23,1.24,9.45,12.55,16.73,0.67,6.56,4.94,5.3,2.01,2.09,1.86,4.26,1.63,1.39,0.77,0.08,0.08,-0.62,0.93,1.24,-0.31
"Bill Guerin","BILL.GUERIN","8456464","08-09","PIT","R","R",1970-11-09,37,1989,1,5,17,192.65,1.56,1.25,0,2.8,10.59,14.02,16.51,0.79,14.71,11.11,5.62,0.62,0.31,0.62,3.43,3.74,0.62,0.93,0.62,0.62,0.31,0.31,0,0.31
"Bill Guerin","BILL.GUERIN","8456464","09-10","PIT","R","R",1970-11-09,38,1989,1,5,77,984.63,0.55,0.61,0.43,1.58,9.45,13.16,16.27,0.77,5.81,4.17,5.85,0.79,1.52,0.49,4.14,2.62,0.73,0.37,0.3,0.3,-0.37,0.55,0.49,0.06
"Bill Sweatt","BILL.SWEATT","8474035","11-12","VAN","L","L",1988-09-21,22,2007,2,38,2,10.15,0,0,0,0,11.82,11.82,17.73,0.18,0,0,1.5,0,0,0,5.91,5.91,0,0,0,0,0,0,0,0
"Bill Sweatt","BILL.SWEATT","8474035","12-13","VAN","L","L",1988-09-21,23,2007,2,38,1,12.33,0,0,0,0,0,4.87,4.87,0.34,0,0,7,0,0,0,0,4.87,0,0,0,0,0,0,0,0
"Bill Thomas","BILL.THOMAS","8472361","08-09","PIT","R","R",1983-06-20,25,2001,NA,NA,16,117.03,0.51,0.51,0,1.03,5.64,8.2,11.28,0.18,9.09,6.25,2.25,3.59,1.03,0.51,7.18,4.61,0.51,1.54,0,0,1.03,19.48,16.92,2.56
"Bill Thomas","BILL.THOMAS","8472361","10-11","FLA","R","R",1983-06-20,27,2001,NA,NA,24,197.02,1.22,0.3,0.61,2.13,10.05,13.7,14.01,0.78,12.12,8.89,5.71,2.74,0.91,2.44,5.79,6.4,0.91,1.22,0,0,0.3,3.65,2.44,1.22
"Bill Thomas","BILL.THOMAS","8472361","11-12","FLA","R","R",1983-06-20,28,2001,NA,NA,7,57.73,1.04,0,0,1.04,9.35,11.43,17.67,0.42,11.11,9.09,3.64,1.04,0,1.04,10.39,11.43,0,0,0,0,0,0,3.12,-3.12
"Billy Sweezey","BILLY.SWEEZEY","8482399","22-23","CBJ","D","R",1996-02-06,26,2014,NA,NA,9,131.83,0,0,0.46,0.46,0.91,2.28,6.83,0.04,0,0,1.6,7.28,1.37,0.91,17.3,7.28,0.91,0.46,0.46,0.46,-0.46,0,0,0
"Blair Betts","BLAIR.BETTS","8467361","08-09","NYR","C","L",1980-02-16,28,1998,2,33,81,602.63,0.4,0.2,0.1,0.7,7.17,9.56,11.45,0.63,5.56,4.17,6.57,1.99,0.7,2.09,8.36,7.57,0.4,0.6,0,0,0.2,27.08,24.19,2.89
"Blair Betts","BLAIR.BETTS","8467361","09-10","PHI","C","L",1980-02-16,29,1998,2,33,63,585.38,0.51,0.51,0.51,1.54,5.74,7.58,10.66,0.49,8.93,6.76,6.43,3.89,1.02,1.02,9.02,5.74,0.51,0.1,0,0,-0.41,31.26,26.55,4.71
"Blair Betts","BLAIR.BETTS","8467361","10-11","PHI","C","L",1980-02-16,30,1998,2,33,75,502.75,0.36,0,0.48,0.84,4.54,5.97,8.35,0.43,7.89,6,7.26,5.01,0.24,0.72,9.19,6.92,0.48,0.48,0,0,0,29.72,26.85,2.86
"Blair Jones","BLAIR.JONES","8471767","09-10","T.B","C","R",1986-09-27,22,2005,4,102,14,160.02,0,0,0,0,9.75,13.12,13.87,0.6,0,0,4.54,3,0.37,2.62,7.87,9.75,0,1.87,0.75,0.75,1.87,3.75,3.75,0
"Blair Jones","BLAIR.JONES","8471767","10-11","T.B","C","R",1986-09-27,23,2005,4,102,18,143.52,0.42,0.84,0,1.25,7.94,9.2,12.96,0.55,5.26,4.55,5.95,2.51,2.09,2.09,5.02,10.45,0,1.25,0,0,1.25,19.23,16.3,2.93
"Blair Jones","BLAIR.JONES","8471767","11-12","CGY","C","R",1986-09-27,24,2005,4,102,21,247.98,0.24,0.48,0,0.73,7.74,9.44,12.1,0.75,3.12,2.56,7.92,3.15,1.94,2.66,5.81,5.08,0.24,1.21,0,0,0.97,19.84,25.65,-5.81
"Blair Jones","BLAIR.JONES","8471767","11-12","T.B","C","R",1986-09-27,24,2005,4,102,22,171.38,0.7,0,0.7,1.4,7,9.1,10.15,0.61,10,7.69,6.73,1.4,1.05,1.05,8.4,9.45,1.4,1.4,0,0,0,8.4,11.9,-3.5
"Blair Jones","BLAIR.JONES","8471767","12-13","CGY","C","R",1986-09-27,25,2005,4,102,15,149.52,0,0,0.4,0.4,8.83,10.43,12.84,0.68,0,0,6.5,2.41,0,1.2,8.83,6.02,1.61,1.2,0,0,-0.4,21.67,17.26,4.41
"Blair Jones","BLAIR.JONES","8471767","13-14","CGY","C","R",1986-09-27,26,2005,4,102,14,137.17,0.44,0,0,0.44,5.69,7.87,11.37,0.48,7.69,5.56,6.06,0.87,3.94,1.75,13.12,6.56,1.31,0.87,0.44,0.44,-0.44,14,12.25,1.75
"Blair Jones","BLAIR.JONES","8471767","14-15","PHI","C","R",1986-09-27,27,2005,4,102,4,27.67,0,0,0,0,0,2.17,6.51,0.02,0,0,1,2.17,2.17,2.17,15.18,8.67,2.17,2.17,0,0,0,10.84,10.84,0
"Blake Coleman","BLAKE.COLEMAN","8476399","16-17","N.J","C","L",1991-11-28,24,2011,3,75,23,268.7,0.22,0.22,0,0.45,6.03,7.82,9.6,0.58,3.7,2.86,7.37,3.13,2.68,2.68,11.39,6.92,1.79,1.34,0.22,0.22,-0.45,19.43,24.34,-4.91
"Blake Coleman","BLAKE.COLEMAN","8476399","17-18","N.J","C","L",1991-11-28,25,2011,3,75,79,941.2,0.64,0.57,0.13,1.34,7.84,10.77,13.58,0.78,8.13,5.92,7.26,2.68,1.15,2.74,12.43,6.82,0.89,1.02,0.06,0.06,0.13,13.2,14.22,-1.02
"Blake Coleman","BLAKE.COLEMAN","8476399","18-19","N.J","C","L",1991-11-28,26,2011,3,75,78,1031.43,0.76,0.41,0.29,1.45,10.18,13.38,16.29,0.94,7.43,5.65,7,1.69,1.86,1.92,11.93,5.24,1.4,1.05,0.06,0.06,-0.35,3.84,4.6,-0.76
"Blake Coleman","BLAKE.COLEMAN","8476399","19-20","N.J","C","L",1991-11-28,27,2011,3,75,57,764.73,1.26,0.16,0.39,1.8,12.08,15.14,18.28,1.01,10.39,8.29,6.68,2.43,1.02,2.35,12.24,3.69,0.94,0.78,0,0,-0.16,2.04,3.84,-1.8
"Blake Coleman","BLAKE.COLEMAN","8476399","19-20","T.B","C","L",1991-11-28,27,2011,3,75,9,110.72,0,0.54,0,0.54,8.13,11.38,14.09,0.9,0,0,7.95,3.25,1.08,3.25,12.46,4.34,1.08,1.08,0,0,0,0.54,1.63,-1.08
"Blake Coleman","BLAKE.COLEMAN","8476399","20-21","T.B","C","L",1991-11-28,28,2011,3,75,55,686.45,0.87,0.44,0.79,2.1,8.65,10.84,13.29,0.73,10.1,8.06,6.7,1.4,1.31,1.14,9.09,5.33,0.96,1.05,0.09,0.09,0.09,0.17,0.52,-0.35
"Blake Coleman","BLAKE.COLEMAN","8476399","21-22","CGY","C","L",1991-11-28,29,2011,3,75,81,1039.12,0.87,0.46,0.4,1.73,11.43,14.2,17.44,1.03,7.58,6.1,7.24,2.19,2.43,1.5,9.24,3.64,1.39,0.75,0.12,0.12,-0.64,0.12,0.75,-0.64
"Blake Coleman","BLAKE.COLEMAN","8476399","22-23","CGY","C","L",1991-11-28,30,2011,3,75,82,1107.55,0.65,0.65,0.43,1.73,8.99,12.51,15.98,1.09,7.23,5.19,8.73,1.79,1.57,1.57,5.53,4.17,1.08,0.92,0,0,-0.16,1.03,1.14,-0.11
"Blake Coleman","BLAKE.COLEMAN","8476399","23-24","CGY","C","L",1991-11-28,31,2011,3,75,78,1112.97,0.92,0.43,0.75,2.1,8.57,11.64,15.63,0.95,10.69,7.87,8.13,2.37,1.56,1.89,6.42,3.34,1.13,1.02,0.05,0.05,-0.11,1.56,1.73,-0.16
"Blake Coleman","BLAKE.COLEMAN","8476399","24-25","CGY","C/L","L",1991-11-28,32,2011,3,75,82,1133.97,0.37,0.63,0.37,1.38,7.78,12.28,16.14,0.93,4.76,3.02,7.56,2.91,3.49,1.27,8.47,3.12,0.69,0.48,0,0,-0.21,1.59,1.59,0
"Blake Comeau","BLAKE.COMEAU","8471260","08-09","NYI","L","R",1986-02-18,22,2004,2,47,53,682.73,0.44,0.62,0.44,1.49,5.19,7.73,10.9,0.61,8.47,5.68,7.9,1.41,1.58,2.11,7.73,3.87,0.62,0.7,0,0,0.09,0.79,1.58,-0.79
"Blake Comeau","BLAKE.COMEAU","8471260","09-10","NYI","L","R",1986-02-18,23,2004,2,47,60,759.72,1.18,0.71,0.24,2.13,9.16,11.37,15.01,0.85,12.93,10.42,7.47,1.74,1.82,2.45,7.82,5.84,1.03,0.79,0,0.08,-0.16,0.32,0.16,0.16
"Blake Comeau","BLAKE.COMEAU","8471260","10-11","NYI","L","R",1986-02-18,24,2004,2,47,77,1048.48,1.03,0.69,0.17,1.89,7.84,11.1,15.97,0.76,13.14,9.28,6.82,0.92,2.23,2.29,6.12,4.12,0.74,0.69,0.06,0.11,0,0.74,2.63,-1.89
"Blake Comeau","BLAKE.COMEAU","8471260","11-12","CGY","L","R",1986-02-18,25,2004,2,47,58,792.37,0.38,0.38,0.38,1.14,7.8,10.68,15.9,0.56,4.85,3.55,5.28,1.06,1.74,1.51,7.8,3.41,0.53,0.68,0,0,0.15,1.82,2.95,-1.14
"Blake Comeau","BLAKE.COMEAU","8471260","11-12","NYI","L","R",1986-02-18,25,2004,2,47,16,194.87,0,0,0,0,5.85,8.93,14.16,0.35,0,0,3.9,0.92,1.54,2.77,10.78,4.93,0.92,0.31,0,0,-0.62,0.62,1.54,-0.92
"Blake Comeau","BLAKE.COMEAU","8471260","12-13","CBJ","L","R",1986-02-18,26,2004,2,47,9,99.83,1.2,1.2,0,2.4,2.4,4.21,6.61,0.47,50,28.57,11.29,0.6,0.6,0.6,13.82,4.21,1.8,0,0,0,-1.8,1.8,1.2,0.6
"Blake Comeau","BLAKE.COMEAU","8471260","12-13","CGY","L","R",1986-02-18,26,2004,2,47,33,352.02,0.51,0.17,0.34,1.02,7.16,10.06,13.64,0.58,7.14,5.08,5.73,1.19,1.36,0.68,11.76,4.43,1.19,0.51,0,0,-0.68,5.62,5.8,-0.17
"Blake Comeau","BLAKE.COMEAU","8471260","13-14","CBJ","L","R",1986-02-18,27,2004,2,47,61,697.43,0.43,0.52,0.43,1.38,9.03,11.79,16.35,0.58,4.76,3.65,4.93,1.38,1.38,1.89,16.69,6.28,1.03,0.95,0.17,0.17,-0.09,0.77,0.52,0.26
"Blake Comeau","BLAKE.COMEAU","8471260","14-15","PIT","L","R",1986-02-18,28,2004,2,47,61,846.23,1.13,0.57,0.35,2.06,9.57,12.27,17.16,0.78,11.85,9.25,6.4,0.71,1.21,1.13,12.9,5.6,1.7,0.85,0.07,0,-0.92,0.28,0.14,0.14
"Blake Comeau","BLAKE.COMEAU","8471260","15-16","COL","L","R",1986-02-18,29,2004,2,47,81,1079.4,0.33,0.5,0.33,1.17,6.28,8.06,11.17,0.39,5.31,4.14,4.83,1.67,1.17,1.5,8.56,4.39,0.94,0.78,0,0,-0.17,9.12,9.67,-0.56
"Blake Comeau","BLAKE.COMEAU","8471260","16-17","COL","L","R",1986-02-18,30,2004,2,47,77,946.38,0.32,0.25,0.32,0.89,5.96,8.24,11.48,0.44,5.32,3.85,5.33,1.01,1.08,1.84,7.1,4.06,1.46,1.27,0,0,-0.19,4.75,5.26,-0.51
"Blake Comeau","BLAKE.COMEAU","8471260","17-18","COL","L","R",1986-02-18,31,2004,2,47,79,1019.67,0.53,0.76,0.29,1.59,6.53,8.89,11.83,0.47,8.11,5.96,5.33,1.47,1.41,2.41,7.83,3.3,0.76,0.94,0,0,0.18,3.77,5.59,-1.82
"Blake Comeau","BLAKE.COMEAU","8471260","18-19","DAL","L","R",1986-02-18,32,2004,2,47,77,1022.03,0.41,0.29,0.35,1.06,5.46,7.4,9.51,0.55,7.53,5.56,7.44,1.7,2,1.7,11.45,4.81,0.88,0.7,0,0,-0.18,1.06,1.35,-0.29
"Blake Comeau","BLAKE.COMEAU","8471260","19-20","DAL","L","R",1986-02-18,33,2004,2,47,55,676.68,0.62,0.27,0.35,1.24,5.5,6.83,9.4,0.49,11.29,9.09,7.19,1.33,2.31,1.6,8.96,3.37,1.24,0.62,0,0,-0.62,2.93,3.72,-0.8
